               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 149,            0.019062,           0.0054118,                   0,             0.98298,             0.99321,             0.99406,             0.79622,             0.01504,           0.0029722,                   0,           0.0041392,           0.0041392,           0.0041392
                 150,             0.01851,           0.0051423,                   0,             0.98298,             0.99264,             0.99392,             0.79453,            0.015005,           0.0029473,                   0,           0.0040996,           0.0040996,           0.0040996
                 151,            0.017801,           0.0047568,                   0,             0.98295,              0.9914,             0.99392,             0.80115,            0.014777,           0.0029119,                   0,             0.00406,             0.00406,             0.00406
                 152,            0.018968,           0.0051503,                   0,              0.9839,             0.98854,             0.99415,             0.80516,            0.014712,           0.0029063,                   0,           0.0040204,           0.0040204,           0.0040204
                 153,            0.017918,           0.0048378,                   0,             0.98298,             0.99286,             0.99409,             0.81097,             0.01448,           0.0028733,                   0,           0.0039808,           0.0039808,           0.0039808
                 154,            0.018793,           0.0050052,                   0,             0.98022,             0.99402,             0.99415,             0.78732,            0.015411,            0.002932,                   0,           0.0039412,           0.0039412,           0.0039412
                 155,            0.019805,           0.0053971,                   0,             0.98574,             0.99001,              0.9943,             0.78818,            0.014899,           0.0029419,                   0,           0.0039016,           0.0039016,           0.0039016
                 156,            0.017676,           0.0051973,                   0,             0.98573,             0.98994,             0.99451,             0.79293,            0.014666,           0.0028965,                   0,            0.003862,            0.003862,            0.003862
                 157,            0.018932,           0.0046058,                   0,             0.98299,             0.99347,             0.99445,              0.7976,            0.014897,           0.0028919,                   0,           0.0038224,           0.0038224,           0.0038224
                 158,            0.018462,           0.0048974,                   0,             0.98113,              0.9914,             0.99433,             0.80066,            0.014791,            0.002869,                   0,           0.0037828,           0.0037828,           0.0037828
                 159,            0.018063,           0.0049734,                   0,             0.98575,             0.99116,             0.99424,             0.79447,            0.015234,           0.0028579,                   0,           0.0037432,           0.0037432,           0.0037432
                 160,            0.018367,           0.0048834,                   0,             0.98574,             0.99008,             0.99411,             0.81144,            0.014289,           0.0028156,                   0,           0.0037036,           0.0037036,           0.0037036
                 161,             0.01772,           0.0048903,                   0,             0.98299,             0.99332,             0.99399,             0.81391,            0.014512,           0.0028264,                   0,            0.003664,            0.003664,            0.003664
                 162,            0.017953,           0.0050043,                   0,             0.98027,              0.9967,             0.99403,             0.79013,            0.015443,           0.0028694,                   0,           0.0036244,           0.0036244,           0.0036244
